,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
486,Innocent Discretion,MitiS,"1,4,5",Intro,Innocent Discretion,MitiS,4186,21561,,,,,
487,Wild Eyes,Broiler ft RAVVEL,"1,4,5",Intro and Verse,Wild Eyes,Broiler Ft Ravvel,68,249,,,,,
488,Wild Eyes,Broiler ft RAVVEL,"1,4,5",Pre-Chorus,Wild Eyes,Broiler Ft Ravvel,68,249,,,,,
489,Over the Hills and Far Away,Nightwish,"1,4,5",Chorus,Over the Hills and Far Away,Nightwish,287361,2389760,"symphonic metal, Gothic Metal, metal, Power metal, Female fronted metal",,,,
490,Get What,The Besides,"1,4,5",Intro,,,,,,,,,
491,Flashlight,Jessie J,"1,4,5",Intro and Verse,Flashlight,Jessie J,18446,161178,"pop, love at first listen, british, rnb, linedance",,,,
492,Kingdom Hearts,Traverse Town,"1,4,5",Instrumental,,,,,,,,,
493,Let Down,Radiohead,"1,4,5",Chorus,Let Down,Radiohead,937047,6874139,"alternative, alternative rock, rock, radiohead, beautiful",Let Down,Radiohead,62.0,1997-05-28
494,Honesty,Billy Joel,"1,4,5",Intro and Verse,Honesty,Billy Joel,141353,565876,"70s, pop, classic rock, piano, rock",Honesty,Billy Joel,60.0,1978-10-13
495,Stitches,Shawn Mendes,"1,4,5",Verse and Pre-Chorus,Stitches,Shawn Mendes,294796,2625720,"pop, Canadian, acoustic, guitar, r&b",Stitches,Shawn Mendes,76.0,2015-04-14
496,Jake Kaufman,Shovel Knight - La Danse Macabre,"1,4,5",Chorus,,,,,,,,,
497,Pokemon Red And Blue - Pallet Town,Nintendo,"1,4,5",Intro and Verse,,,,,,,,,
498,Typical,Mutemath,"1,4,5",Chorus,Typical,Mutemath,101199,761810,"rock, alternative rock, alternative, indie, indie rock",Typical,Mutemath,43.0,2006-10-09
499,Der Koenig In Thule,Franz Schubert,"1,4,5",Verse,,,,,,,,,
500,Shake It Out,Florence and the Machine,"1,4,5",Intro and Verse,Shake It Out,Florence + the Machine,749581,7563838,"indie, female vocalists, indie pop, alternative, love at first listen",,,,
501,Marvin's Room,Drake,"1,4,5",Chorus,Marvin's Room,Drake,32019,309254,"Hip-Hop, pop, rap, Canadian, Drake",,,,
502,Sonic - His World,Sega,"1,4,5",Chorus,,,,,,,,,
503,That's On Me,Wavves,"1,4,5",Verse,That's On Me,Wavves,32039,143707,"rock, alternative rock, noise pop, alternative, indie rock",,,,
504,Fidelity,Regina Spektor,"1,4,5",Chorus,Fidelity,Regina Spektor,776545,5839580,"female vocalists, indie, singer-songwriter, piano, alternative",Fidelity,Regina Spektor,55.0,2006-06-13
505,The Night Santa Went Crazy,Weird Al Yankovic,"1,4,5",Chorus,The Night Santa Went Crazy,"""Weird Al"" Yankovic",48459,164004,"christmas, comedy, parody, funny, Weird Al Yankovic",The Night Santa Went Crazy,"""Weird Al"" Yankovic",35.0,1996-12-31
506,Stand,REM,"1,4,5",Chorus,Stand,R.E.M.,260703,1016463,"rock, 80s, alternative rock, alternative, REM",,,,
507,Purpose,Justin Bieber,"1,4,5",Intro,puRPOse,Justin Bieber,100854,476193,"pop, amazing, corny, Masterpiece, god",,,,
508,Hollywood Nights,Bob Seger,"1,4,5",Chorus,Hollywood Nights,Bob Seger,108637,317653,"classic rock, Bob Seger, rock, 70s, 80s",Hollywood Nights,Bob Seger,61.0,1978-05-05
509,Pink Houses,John Mellencamp,"1,4,5",Chorus,Pink Houses,John Mellencamp,156477,482040,"classic rock, rock, 80s, americana, john mellencamp",Pink Houses,John Mellencamp,64.0,1983
510,Holiday Road,Lindsey Buckingham,"1,4,5",Chorus,Holiday Road,Lindsey Buckingham,13562,73267,"Soundtrack, 80s, christmas, road trip, upbeat",,,,
511,Kiss Me Deadly,Lita Ford,"1,4,5",Chorus,Kiss Me Deadly,Lita Ford,89121,319823,"80s, rock, hard rock, female vocalists, hair metal",Kiss Me Deadly,Lita Ford,56.0,1988-01-02
512,Shake It,Metro Station,"1,4,5",Verse,Shake It,Metro Station,481108,3795453,"dance, electronic, indie, powerpop, alternative",Shake It,Metro Station,73.0,2007-09-18
513,Shake It,Metro Station,"1,4,5",Pre-Chorus,Shake It,Metro Station,481108,3795453,"dance, electronic, indie, powerpop, alternative",Shake It,Metro Station,73.0,2007-09-18
514,I Remember You,Skid Row,"1,4,5",Verse,I Remember You,Skid Row,234641,1520779,"hard rock, 80s, hair metal, rock, metal",I Remember You,Skid Row,70.0,1989-01-24
515,Peace Train,Cat Stevens,"1,4,5",Verse,Peace Train,Cat Stevens,246237,1024601,"folk, singer-songwriter, 70s, classic rock, folk rock",,,,
516,Fire Inside Mr FijiWiji Remix,Gemini,"1,4,5",Intro,,,,,,,,,
517,Crossfire,Stephen,"1,4,5",Pre-Outro,Crossfire,Stephen,56732,366615,"indie, rock",Crossfire,Stephen,67.0,2015-12-07
518,Hey Julie,Fountains of Wayne,"1,4,5",Chorus,Hey Julie,Fountains of Wayne,121626,799431,"scrubs, indie, happy, rock, fun",,,,
519,Better,Regina Spektor,"1,4,5",Chorus,Better,Regina Spektor,434816,2833633,"female vocalists, indie, singer-songwriter, piano, alternative",,,,
520,Christmas Time - Don't Let The Bells End,The Darkness,"1,4,5",Chorus,Christmas Time - Don't let the Bells End,The Darkness,14,133,,,,,
521,Lay It All On Me,Rudimental,"1,4,5",Chorus,Lay It All on Me,Rudimental,7904,31812,"pop, synth, holiday",Lay It All on Me,Rudimental,55.0,2015-10-02
522,Rainbow,Sex Whales,"1,4,5",Intro,Rainbow,Sex Whales,51,567,,,,,
523,Can Can,Offenbach,"1,4,5",Verse and Pre-Chorus,Can Can,Offenbach,1564,6156,,,,,
524,Va Va Voom,Nicki Minaj,"1,4,5",Bridge,Va Va Voom,Nicki Minaj,167675,1555549,"pop, dance, why on earth is this just a bonus track, party, FUCKING AWESOME",Va Va Voom,Nicki Minaj,62.0,2012-01-01
525,Black Rock Shooter,ryo,"1,4,5",Instrumental,BLACK ROCK SHOOTER,Ryo,95,749,,,,,
526,Human Touch,Rick Springfield,"1,4,5",Chorus,Human Touch,Rick Springfield,19532,58649,"80s, rock, pop, rick springfield-human touch, classic rock",Human Touch,Rick Springfield,33.0,2018-02-02
527,Me Gustas Tu,GFriend,"1,4,5",Chorus,Me Gustas Tu,GFRIEND,479,2550,"pop, Kpop, heavy metal, dance-pop, Korean",Me Gustas Tu,GFRIEND,64.0,2015-07-23
528,Crash Bandicoot Theme,Josh Mancell,"1,4,5",Instrumental,Crash Bandicoot Theme,Josh Mancell,7,21,,,,,
529,Last of Me,Circus-P,"1,4,5",Intro,Last of Me,Circus-P,471,2891,,,,,
530,Sedona,Houndmouth,"1,4,5",Chorus,Sedona,Houndmouth,123116,608534,"american, folk rock, indie, alternative, places",Sedona,Houndmouth,70.0,2015-03-17
531,Say It,Houndmouth,"1,4,5",Chorus,Say It,Houndmouth,16643,48917,as seen on TV,Say It,Houndmouth,46.0,2015-03-17
532,William It Was Really Nothing,The Smiths,"1,4,5",Instrumental,William It Was Really Nothing,The Smiths,63666,277593,"new wave, 80s, british, indie, alternative",,,,
533,Hollow,Tori Kelly,"1,4,5",Chorus,Hollow,Tori Kelly,59259,281151,"american, 2015 single",Hollow,Tori Kelly,59.0,2015-11-02
534,A Head Full Of Dreams,Coldplay,"1,4,5",Verse,A Head Full of Dreams,Coldplay,132191,691799,"alternative rock, british, pop rock, Awesome, party",A Head Full of Dreams,Coldplay,70.0,2015-12-04
535,ARiA,Toku-P,"1,4,5",Pre-Chorus,ARiA,Toku-P,30,147,,,,,
536,Drink The Water,Eisley,"1,4,5",Verse,Drink the Water,Eisley,10453,54082,"indie pop, indie rock, female vocalists, Dreamy, dream pop",Drink the Water,Eisley,21.0,2013-05-28
537,Super Mario Land - Chai Kingdom,Nintendo,"1,4,5",Intro and Verse,,,,,,,,,
538,All The Small Things,Blink 182,"1,4,5",Bridge,All the Small Things,blink-182,1232715,9144257,"punk rock, punk, rock, pop punk, Blink 182",All the Small Things,blink-182,31.0,2016-05-25
539,Manhattan-Kaboul,Renaud,"1,4,5",Verse,Manhattan-Kaboul,Renaud,16775,58489,"2002, rock, alternative, singer-songwriter, blues",Manhattan-Kaboul,Renaud,62.0,2002-05-28
540,Danganronpa - Saisei,Satoshi Iwase,"1,4,5",Chorus,,,,,,,,,
541,K387 String Quartet No14 In G Major,Wolfgang Amadeus Mozart,"1,4,5",Outro,,,,,,,,,
542,The Fool,Ryn Weaver,"1,4,5",Verse and Pre-Chorus,The Fool,Ryn Weaver,26298,147727,"wow, godly, slay me, alternative, female vocalists",The Fool,Ryn Weaver,43.0,2015-06-02
543,Special Friends,Kazoo Kid,"1,4,5",Pre-Chorus and Chorus,,,,,,,,,
544,Heaven Piercing Giga Drill,Area 11,"1,4,5",Intro and Verse,Heaven piercing giga drill,Area 11,11,71,,,,,
545,Me And My Sister The Moon,Rex Preston and Miranda Sykes,"1,4,5",Verse,,,,,,,,,
546,Two Feet of Topsoil,Brad Paisley,"1,4,5",Verse,Two Feet Of Topsoil,Brad Paisley,6796,25904,"country, seen live, male, death, humour",,,,
547,No Need To Argue,The Cranberries,"1,4,5",Verse,No Need to Argue,The Cranberries,169871,718106,"rock, irish, 90s, alternative, female vocalists",,,,
548,Haiku,Tally Hall,"1,4,5",Verse,Haiku,Tally Hall,12104,74222,"alternative, indie, quirky, Mellow, pop",Haiku,Tally Hall,38.0,2005-10-24
549,Haiku,Tally Hall,"1,4,5",Pre-Chorus,Haiku,Tally Hall,12104,74222,"alternative, indie, quirky, Mellow, pop",Haiku,Tally Hall,38.0,2005-10-24
550,Harold T Wilkins,Fanfarlo,"1,4,5",Verse,Harold T Wilkins,Fanfarlo,3750,17432,"indie, pretentious, sxsw 2009, sxsw2009, Birthday track",,,,
551,Gypsy,Fleetwood Mac,"1,4,5",Intro and Verse,Gypsy,Fleetwood Mac,291199,1529990,"classic rock, Fleetwood Mac, 80s, rock, pop",Gypsy,Fleetwood Mac,72.0,1988-11-21
552,PILLOWTALK,Zayn,"1,4,5",Pre-Chorus and Chorus,PILLOWTALK,Zayn,256279,2577445,"pop, electronic, zayn, pillowtalk, british",,,,
553,Say You Do,Sigala,"1,4,5",Verse,Say You Do,Sigala,6558,25852,,Say You Do,Sigala,54.0,2018-09-28
554,Pop Culture,Madeon,"1,4,5",Solo,Pop Culture,Madeon,37610,312867,"electronic, dance, mashup, pop, House",,,,
555,Angel Of The Morning,Juice Newton,"1,4,5",Verse,Angel of the Morning,Juice Newton,80410,342875,"80s, female vocalists, country, soft rock, juice newton",Angel of the Morning,Juice Newton,16.0,2009-04-21
556,Fall of Fall - Autumnal Waterfall,ZUN,"1,4,5",Intro,,,,,,,,,
557,Jangan Play,ArmanArX,"1,4,5",Chorus,,,,,,,,,
558,Hot In Herre,Jenny Owen Youngs,"1,4,5",Chorus,Hot in Herre,Jenny Owen Youngs,80333,282139,"cover, female vocalists, indie, covers, covers that outstrip the originals",,,,
559,Angreh Goat Goes BAAAH,Halcyonic Falcon X,"1,4,5",Intro and Verse,,,,,,,,,
560,Maplestory - Cash Shop,Wizet,"1,4,5",Intro and Verse,MapleStory - Cash Shop,Wizet,1,8,,,,,
561,New Rally-X Theme,Namco,"1,4,5",Verse,,,,,,,,,
562,All That I Want,The Weepies,"1,4,5",Verse,All That I Want,The Weepies,37314,206983,"christmas, folk, gossip girl, holiday, acoustic",All That I Want,The Weepies,35.0,2004
563,Senbonzakura,WhiteFlame,"1,4,5",Pre-Chorus,Senbonzakura,Whiteflame,1949,10357,"japanese, JPop, j-pop",,,,
564,Flight,Tristan and braken,"1,4,5",Intro,Flight,Tristan and Braken,1,1,,,,,
565,Singularity,Au5,"1,4,5",Chorus,Singularity,Au5,524,2723,"dubstep, Trancestep, melody dubstep",,,,
566,SalahBeli,ArmanArX,"1,4,5",Chorus,,,,,,,,,
567,I Love You,Woodkid,"1,4,5",Verse,I Love You,Woodkid,203606,1787152,"indie, alternative, epic, pop, fip",,,,
568,Tiger Mountain Peasant Song,Fleet Foxes,"1,4,5",Verse,Tiger Mountain Peasant Song,Fleet Foxes,510424,3512736,"folk, acoustic, indie, alternative, rock",Tiger Mountain Peasant Song,Fleet Foxes,52.0,2008-06-03
569,Don't Let's Start,They Might Be Giants,"1,4,5",Chorus,Don't Let's Start,They Might Be Giants,73170,370300,"alternative, rock, 80s, tmbg, quirky",Don't Let's Start,They Might Be Giants,45.0,1986-11-04
570,Downtown,Petula Clark,"1,4,5",Verse,Downtown,Petula Clark,200271,963096,"60s, oldies, female vocalists, pop, lost",Downtown,Petula Clark,58.0,2003-04-11
571,Beautiful Sunday,Daniel Boone,"1,4,5",Chorus,Beautiful Sunday,Daniel Boone,33200,111098,"70s, pop, oldies, oldie, beautiful sunday",Beautiful Sunday,Daniel Boone,48.0,2013-03-31
572,Sunday Girl,Blondie,"1,4,5",Verse,Sunday Girl,Blondie,215997,875728,"new wave, 80s, pop, rock, female vocalists",Sunday Girl,Blondie,45.0,1981-10-31
573,Post To Be,Omarion ft Chris Brown and Jhene Aiko,"1,4,5",Chorus,Post To Be,Omarion Ft Chris Brown and Jhene Aiko,8,163,,,,,
574,LKY Fansku Tapi Hatersku,ArmanArX,"1,4,5",Chorus,,,,,,,,,
575,Telepon Gebetan LINE CALL,ArmanArX,"1,4,5",Instrumental,,,,,,,,,
576,I Am A Building,Black20 Studios,"1,4,5",Intro and Verse,,,,,,,,,
577,Sevcon,Big Giant Circles,"1,4,5",Chorus,Sevcon,Big Giant Circles,3187,17011,,Sevcon,Big Giant Circles,38.0,2014-02-14
578,Strangers,The Kinks,"1,4,5",Verse,Strangers,The Kinks,225526,1038096,"60s, classic rock, rock, the darjeeling limited, Wes Anderson",Strangers,The Kinks,64.0,1970-11-27
579,Breakin' Up,Rilo Kiley,"1,4,5",Chorus,Breakin' Up,Rilo Kiley,146817,942350,"indie, female vocalists, indie pop, pop, alternative",Breakin' Up,Rilo Kiley,42.0,2007-08-20
580,Answers,Puppet,"1,4,5",Chorus,Answers,Puppet,412,1529,,Answers,Puppet,32.0,2015-02-04
581,The Boy With The Thorn In His Side,The Smiths,"1,4,5",Verse and Pre-Chorus,The Boy With The Thorn In His Side,The Smiths,484462,3610301,"80s, indie, alternative, british, new wave",,,,
582,I'm Not Cool,Scott Krippayne,"1,4,5",Verse,I'm Not Cool,Scott Krippayne,904,3573,"unique, contemporary christian, christian, gospel, unique gospel",,,,
583,Honey Magnolia,Brian Fallon,"1,4,5",Intro and Verse,Honey Magnolia,Brian Fallon,6868,47735,,Honey Magnolia,Brian Fallon,38.0,2016-03-11
584,Dogsong,Toby Fox,"1,4,5",Verse,Dogsong,Toby Fox,13196,65970,cancer,Dogsong,Toby Fox,50.0,2016-06-03
585,Let Me Down Easy,Derrick Harriott,"1,4,5",Chorus,Let Me Down Easy,Derrick Harriott,11912,38804,"reggae, dub, roots reggae, rocksteady, ska",Let Me Down Easy,Derrick Harriott,34.0,2012
586,Tame Trip,FamicomForever,"1,4,5",Chorus,Tame Trip,FamicomForever,1,1,,,,,
587,Multi-Love,Unknown Mortal Orchestra,"1,4,5",Verse,Multi-Love,Unknown Mortal Orchestra,187250,1142412,"indie, electronic, 2015, Psychedelic Rock, electro-funk",Multi-Love,Unknown Mortal Orchestra,66.0,2015-05-26
588,Tem Shop,GiIvaSunner,"1,4,5",Verse,,,,,,,,,
589,Si Bheag Si Mhor,Planxty,"1,4,5",Verse,Si Bheag Si Mhor,Planxty,220,795,,,,,
590,Hello My Old Heart,The Oh Hellos,"1,4,5",Chorus,Hello My Old Heart,The Oh Hellos,113149,525616,,Hello My Old Heart,The Oh Hellos,68.0,2011-12-01
591,Thorns,Alex G,"1,4,5",Chorus,Thorns,Alex G,10928,51315,fip,,,,
592,SS Anne - Pokemon Red and Blue,Game Freak,"1,4,5",Intro and Verse,,,,,,,,,
593,Ride It,Maan,"1,4,5",Verse,Ride It,Maan,3499,13856,,,,,
594,Asagao Academy Theme feat Kori,Saiyapimp,"1,4,5",Pre-Chorus,,,,,,,,,
595,Sunchyme,Dario G,"1,4,5",Intro,Sunchyme,Dario G,44732,243345,"dance, 90s, summer, electronic, pop",Sunchyme,Dario G,51.0,1998-05-18
596,Sit Still Look Pretty,Daya,"1,4,5",Chorus,Sit Still Look Pretty,Daya,204,1818,,,,,
597,Tokimeki Bomb Rush,Toru Minegishi,"1,4,5",Chorus,,,,,,,,,
598,Rosalina In The Observatory,Koji Kondo,"1,4,5",Bridge,Rosalina in the Observatory,近藤浩治,5,39,,,,,
599,Younger,Seinabo Sey,"1,4,5",Chorus,Younger,Seinabo Sey,82929,366498,"Background, chilled dance, soul, alternative, swedish",Younger,Seinabo Sey,51.0,2015-10-23
600,Tiny,Dinosaur Jr,"1,4,5",Chorus,,,,,,,,,
601,True Colors,Cyndi Lauper,"1,4,5",Chorus,True Colors,Cyndi Lauper,334656,1501454,"80s, pop, female vocalists, cyndi lauper, Love",True Colors,Cyndi Lauper,70.0,1986-10-14
602,Acha Cha Kare,Mini Pati,"1,4,5",Chorus Lead-Out,,,,,,,,,
603,Acha Cha Karee,Mini Pati,"1,4,5",Chorus Lead-Out,,,,,,,,,
604,Kakkoii,Romain Gauthier,"1,4,5",Intro,,,,,,,,,
605,Leave a Trace,CHVRCHES,"1,4,5",Chorus,Leave a Trace,CHVRCHES,187494,1471285,"electronic, synthpop, electropop, dreamwave, indie",Leave a Trace,CHVRCHES,55.0,2015-09-25
606,Come Undone,Duran Duran,"1,4,5",Pre-Chorus and Chorus,Come Undone,Duran Duran,292234,1754764,"80s, new wave, pop, 90s, rock",Come Undone,Duran Duran,68.0,1993-02-15
607,Light It Up ft Nyla and Fuse ODG Remix,Major Lazer,"1,4,5",Chorus,,,,,,,,,
608,Underneath It All,No Doubt,"1,4,5",Chorus,Underneath It All,No Doubt,290373,1305280,"ska, pop, reggae, alternative, female vocalists",Underneath It All,No Doubt,60.0,2001-12-11
609,Love Live - Angelic Angel,Mu's,"1,4,5",Intro,,,,,,,,,
610,Cape Cod Kwassa Kwassa,Vampire Weekend,"1,4,5",Intro,Cape Cod Kwassa Kwassa,Vampire Weekend,723493,4819303,"indie rock, indie, indie pop, afro-beat, summer",Cape Cod Kwassa Kwassa,Vampire Weekend,57.0,2008-01-29
611,Please Please Me,The Beatles,"1,4,5",Bridge,Please Please Me,The Beatles,355859,1813884,"classic rock, rock, 60s, pop, The Beatles",,,,
612,Hirari Kirakira Yami Yami Museum,Mini Pati,"1,4,5",Chorus,,,,,,,,,
613,Heaven and Hell,Black Sabbath,"1,4,5",Intro,Heaven and Hell,Black Sabbath,317470,1906748,"heavy metal, hard rock, metal, classic rock, rock",,,,
614,Heaven is a Place on Earth,Belinda Carlisle,"1,4,5",Chorus,Heaven Is a Place on Earth,Belinda Carlisle,420081,2067559,"80s, pop, female vocalists, Belinda Carlisle, new wave",,,,
615,I Love You Always Forever,Donna Lewis,"1,4,5",Verse,I Love You Always Forever,Donna Lewis,123036,697005,"pop, 90s, female vocalists, Love, british",I Love You Always Forever,Donna Lewis,72.0,1996-04-16
616,Worship,Years and Years,"1,4,5",Pre-Chorus,Worship,Years and Years,1,1,,,,,
617,Nie Musze Wracac ft JIMEK,Pezet,"1,4,5",Outro,Nie musze wracac ft Jimek,Pezet,1,15,,,,,
618,Splatoon - Seaskape,Toru Minegishi,"1,4,5",Bridge,,,,,,,,,
619,Mama,Spice Girls,"1,4,5",Intro,Mama,Spice Girls,137623,533667,"pop, Spice Girls, 90s, female vocalists, british",,,,
620,Don't Let The Sun Go Down On Me,Elton John,"1,4,5",Chorus,Don't Let the Sun Go Down on Me,Elton John,207816,754024,"pop, classic rock, elton john, rock, british",,,,
621,Sweet Donuts,Perfume,"1,4,5",Chorus,Sweet Donuts,Perfume,7393,51617,"JPop, synthpop, electronic, japanese, female vocalists",,,,
622,Goodbye Angels,Red Hot Chili Peppers,"1,4,5",Intro,Goodbye Angels,Red Hot Chili Peppers,113342,605755,"alternative rock, Funk Rock, pop rock, rock, alternative",Goodbye Angels,Red Hot Chili Peppers,66.0,2016-06-17
623,Feel You,Julia Holter,"1,4,5",Verse,Feel You,Julia Holter,80918,420614,"chamber pop, dream pop, art pop, 2015, baroque pop",,,,
624,She's Out Of Her Mind,Blink-182,"1,4,5",Verse,She's Out Of Her Mind,blink-182,94674,551250,"punk rock, pop punk, 2010s, 2016",She's Out Of Her Mind,blink-182,64.0,2016-07-01
625,Teenage Satellites,Blink-182,"1,4,5",Chorus,Teenage Satellites,blink-182,43453,232302,"punk rock, rock, punk, alternative, pop punk",Teenage Satellites,blink-182,47.0,2016-07-01
626,Going Away To College,Blink-182,"1,4,5",Verse,Going Away to College,blink-182,376035,2576279,"punk rock, punk, pop punk, Blink 182, rock",,,,
627,Going Away To College,Blink-182,"1,4,5",Chorus,Going Away to College,blink-182,376035,2576279,"punk rock, punk, pop punk, Blink 182, rock",,,,
628,Just Can't Get Enough,Black Eyed Peas,"1,4,6,5",Chorus,Just Can't Get Enough,Black Eyed Peas,168533,1537739,"Hip-Hop, pop, black eyed peas, electro, dance",,,,
629,Anna Begins,Counting Crows,"1,4,6,5",Chorus,Anna Begins,Counting Crows,220554,1029060,"rock, alternative rock, 90s, Mellow, counting crows",Anna Begins,Counting Crows,50.0,1993-01-01
630,Home,Daughtry,"1,4,6,5",Chorus,Home,Daughtry,302864,1556773,"rock, daughtry, alternative rock, alternative, American Idol",,,,
631,Home,Daughtry,"1,4,6,5",Pre-Chorus,Home,Daughtry,302864,1556773,"rock, daughtry, alternative rock, alternative, American Idol",,,,
632,Home,Daughtry,"1,4,6,5",Verse,Home,Daughtry,302864,1556773,"rock, daughtry, alternative rock, alternative, American Idol",,,,
633,Skyscraper,Demi Lovato,"1,4,6,5",Chorus,Skyscraper,Demi Lovato,227809,2285364,"pop, Ballad, Demi Lovato, female vocalists, inspirational",Skyscraper,Demi Lovato,68.0,2011-01-01
634,Skyscraper,Demi Lovato,"1,4,6,5",Intro,Skyscraper,Demi Lovato,227809,2285364,"pop, Ballad, Demi Lovato, female vocalists, inspirational",Skyscraper,Demi Lovato,68.0,2011-01-01
635,She Drives Me Crazy,Fine Young Cannibals,"1,4,6,5",Chorus,She Drives Me Crazy,Fine Young Cannibals,346412,1524357,"80s, pop, new wave, rock, british",She Drives Me Crazy,Fine Young Cannibals,73.0,1988-01-01
636,World Cup Theme,K'naan,"1,4,6,5",Chorus,,,,,,,,,
637,World Cup Theme,K'naan,"1,4,6,5",Verse,,,,,,,,,
638,Breakaway,Kelly Clarkson,"1,4,6,5",Verse,Breakaway,Kelly Clarkson,529075,2862972,"pop, Kelly Clarkson, female vocalists, pop rock, rock",Breakaway,Kelly Clarkson,67.0,2004-01-17
639,What Makes You Beautiful,One Direction,"1,4,6,5",Chorus,What Makes You Beautiful,One Direction,452100,4024179,"pop, one direction, catchy, british, cutieee",What Makes You Beautiful,One Direction,68.0,2012-05-25
640,Dynamite,Taio Cruz,"1,4,6,5",Chorus,Dynamite,Taio Cruz,652756,3995768,"dance, pop, Dynamite, taio cruz, 2010",Dynamite,Taio Cruz,72.0,2010-01-01
641,Dynamite,Taio Cruz,"1,4,6,5",Pre-Chorus,Dynamite,Taio Cruz,652756,3995768,"dance, pop, Dynamite, taio cruz, 2010",Dynamite,Taio Cruz,72.0,2010-01-01
642,Stay Stay Stay,Taylor Swift,"1,4,6,5",Verse,Stay Stay Stay,Taylor Swift,130666,1138144,"country, taylor swift, pop, female vocalists, country pop",Stay Stay Stay,Taylor Swift,56.0,2012-10-22
